名称,位置,建面,销售状态,类型,价格
融创天朗臻园,丈八北路与昆明路十字向西约200米路北,建面 97~130m²,在售,普通住宅,10500
绿地国际花都,科技路西段富鱼路与西三环交汇处,建面 82~167m²,在售,普通住宅,9300
铭城国际社区,大寨路与丈八北路十字向西500米处,建面 144~188m²,在售,普通住宅,9000
海伦春天,大庆路延伸段阿房一路东段,建面 193~221m²,在售,别墅,13000
金辉C园,大兴东路中段（红庙坡向西700米路北）,建面 94~136m²,在售,普通住宅,9600
水润坊,大庆路西延伸线阿房一路东段路南,建面 129~216m²,在售,普通住宅,6500
伊顿公馆,友谊西路白庙路99号,建面 147m²,在售,普通住宅,13500
御溪书院,丰庆路39号,建面 40~123m²,在售,普通住宅,6300
御溪望城,丰庆路39号,建面 40~117m²,在售,普通住宅,8200
中航华府,丈八路与大寨路十字向西800米,建面 77~128m²,在售,普通住宅,8300
亿润领城,大庆西路81号,建面 79~117m²,在售,普通住宅,8200
乔布斯公馆,大兴新区梨园路和生国际东邻,建面 38~79m²,在售,普通住宅,10500
铜雀台,西二环与丰镐东路十字向东200米,建面 118~126m²,在售,普通住宅,9500
万国远鉴名筑,枣园西路219号,建面 44~125m²,在售,普通住宅,6400
华洲城熙悦都,大寨路西口向西100米,建面 91~147m²,在售,普通住宅,6800
西旅逸都,沣东新城三桥街道车刘村,建面 44~148m²,在售,普通住宅,6100
华洲城天峰,大寨路与丈八北路向西500米,建面 76~115m²,在售,普通住宅,7500
阳光台365,大白杨路与桃园北路交汇处,建面 54~118m²,在售,普通住宅,8500
宏府麒麟山,丈八北路和大寨路十字西300米处,,在售,普通住宅,8300
丽苑山水,劳动路与团结东路交汇处西北角,建面 90~125m²,在售,普通住宅,8000
春晓华苑,团结西路36号,建面 75m²,在售,普通住宅,6700
开远半岛广场,土门坊和沣惠南路交汇处北侧,建面 88~148m²,在售,普通住宅,7500
大兴九臻,大兴东路18号,建面 81~156m²,在售,普通住宅,10000
双府新天地,西二环任家口站路西300米,建面 89m²,售罄,普通住宅,6500
天健望湖大观,西二环与梨园路十字东南角,建面 97~121m²,在售,普通住宅,7000
御笔华庭,红庙坡十字向西300米路北,建面 38~77m²,在售,普通住宅,7500
梧桐年华,阿房路与阿房一路交汇处向北200米,建面 136m²,在售,普通住宅,7500
尚邦25时区,西门外环城路向北50米,建面 43~83m²,在售,普通住宅,9300
黎明风和庭院,西二环与丰禾路交汇处向东500米,建面 73~119m²,在售,普通住宅,5700
恒大翡翠华庭,大庆路与枣园南路交汇处南,建面 51~130m²,在售,普通住宅,10000
阳光台365,大白杨路与桃园北路交汇处,建面 218~261m²,在售,别墅,16500
天朗大兴郡,西二环与纬二十六街西南角,,在售,商铺,11000
融创天朗臻园,丈八北路与昆明路十字向西约200米路北,,在售,写字楼,10000
旭弘同德国际,汉城南路与团结西路西南角,,在售,写字楼,8000
海伦春天,大庆路延伸段阿房一路东段,建面 69~142m²,在售,普通住宅,7300
大兴新悦城,西二环与大兴西路交汇处向西1000米,,售罄,普通住宅,5500
和平春天,红光路和平村和平大道路西,建面 88~206m²,在售,普通住宅,7000
