名称,位置,建面,销售状态,类型,价格
陈杨新界,世纪大道与郑国路十字向南100米,建面 95~125m²,在售,普通住宅,3500
沣渭怡心岛,二号桥南英伦沣景西侧100米,建面 93~141m²,在售,普通住宅,4500
枫丹丽舍,秦汉新城兰池大道西段,建面 171~210m²,在售,别墅,11500
同德佳苑,同德路以西统一路以南秦皇大道以东,建面 96m²,在售,普通住宅,4700
春城十八里,秦汉新城兰池大道西段,建面 210~306m²,在售,别墅,450
中建昆明澜庭,富鱼路西段路南,建面 130~143m²,在售,普通住宅,9700
卢卡小镇,泾河新城秦汉大道西侧,建面 174m²,在售,别墅,130
奥林匹克花园,绕城高速与世纪大道交汇处西北角,,待售,普通住宅,6300
亿龙金河湾,世纪大道蓝马啤酒场环岛北200米,建面 175m²,在售,普通住宅,5500
白桦林印象,世纪大道与桃李路交汇处西南角,建面 96~130m²,在售,普通住宅,6500
佳龙大沃城,世纪大道与上林路十字东南角,建面 75~109m²,在售,普通住宅,5300
星河湾,秦汉新城兰池大道中段,建面 134~376m²,在售,普通住宅,13000
中建开元城,地铁一号线三桥站路北,建面 74~124m²,在售,普通住宅,6700
阳光城壹号西西里,"世纪大道中段北边沣太八路以南,沣太二路以东",建面 78~118m²,在售,普通住宅,6900
金科世界城,世纪大道与同文路十字向南600米,建面 76~127m²,在售,普通住宅,5000
秦岭北麓,秦汉新城兰池大道15号,建面 89~235m²,在售,普通住宅,6000
先河国际社区,世纪大道西段陈阳寨转盘向西1000米,,在售,普通住宅,3900
国润城,上林路与世纪大道交汇处十字西南角,建面 79~107m²,在售,普通住宅,8000
荣华宝格丽小镇,迎宾大道与天工一路交汇处向东300米处,建面 165~187m²,在售,别墅,9500
林凯城,秦皇路一号桥南陈阳寨转盘东北角,建面 79~133m²,在售,普通住宅,5800
华府御园,世纪大道西段三号桥南咸阳立交桥西侧,建面 115~125m²,在售,普通住宅,4300
枫溪美郡,沣西新城统一大道西段，西部云谷旁,建面 172~396m²,在售,别墅,10000
先河泉上花间,世纪大道西段世纪西路以东,建面 69~129m²,在售,普通住宅,4400
启迪国际城逸居,世纪大道中段55号,建面 52~117m²,在售,普通住宅,4800
阳光城壹号巴塞阳光,沣东新城世纪大道北侧,建面 93~144m²,在售,普通住宅,5500
启迪国际城仕家,世纪大道中段与韩非路交接十字东北角,建面 94~161m²,在售,普通住宅,4900
日月星城,文林路东段,建面 71~99m²,在售,普通住宅,4300
中天诚品,草滩八路横桥北口,建面 140m²,在售,别墅,250
华润二十四城,三桥新街地铁一号线B出口向西400米,,售罄,普通住宅,6800
阳光城壹号蔷薇溪谷,世纪大道与上林路十字向北500米,建面 266m²,售罄,别墅,11000
恒大都市广场,西安市沣东新城世纪大道与车城西路交汇处,建面 82~119m²,售罄,普通住宅,8700
