名称,位置,建面,销售状态,类型,价格
天琴湾,创汇路34号,建面 90~120m²,在售,普通住宅,9900
风憬天下,西部大道与电子正街延伸段交汇处西南角,建面 65~95m²,在售,普通住宅,6800
国色天香,韦郭路989号陕师大长安校区正对面,建面 140~206m²,在售,普通住宅,9000
雅居乐湖居笔记,子午大道中段（西安邮电大学南880米）,建面 139m²,在售,普通住宅,11000
明威橡树湾,东仪路南段与西部大道交汇处西南角,建面 122~163m²,在售,普通住宅,9500
英郡年华国际社区,航天大道与神舟六路交汇处向南500米,建面 78~122m²,在售,普通住宅,8000
智慧新城,南长安街中段向南50米处（地铁2号线始发站韦曲南站站口）,建面 130~136m²,在售,普通住宅,6700
卡布奇诺观澜,雁塔南路与东长安街交汇处东北角，航天管委会南对面,建面 95~130m²,在售,普通住宅,6300
悦美国际,子午大道与西部大道十字西南角,建面 180m²,在售,普通住宅,8800
西安航天城,神州六路6号,建面 131~182m²,在售,普通住宅,4800
紫园sunny,航天大道与航天西路什字东南角,建面 51~114m²,在售,普通住宅,6300
盛世长安,郭杜北街与郭杜东街交汇处,建面 108m²,在售,普通住宅,7100
绿地城,子午大道中段邮电大学向南800米,建面 105~155m²,在售,普通住宅,16000
龙湖曲江畔,神舟四路与航创路十字东南角,建面 140~209m²,在售,普通住宅,16800
紫荆花园,电视塔向南四站长安花园十字向西500米,建面 134m²,在售,普通住宅,5400
子午美居,韦曲北街航天五〇四所北门对面,建面 49~107m²,在售,普通住宅,7200
早安林莊,郭杜南街198号 （长安国际企业总部南侧100米）,建面 136~156m²,在售,普通住宅,6300
永威高新紫园,草堂基地西太路以南,建面 256~268m²,在售,别墅,11000
楠香郡,航天大道与航天东路十字西南角,建面 92~142m²,在售,普通住宅,8000
国色天香,韦郭路989号陕师大长安校区正对面,,在售,底商,25000
龙湖花千树,航天经济技术开发区神舟四路与航创路十字东南角,,在售,底商,20000
合能公馆,西部大道与子午大道交汇处向南500米,,在售,商铺,30000
阳光天地,博士路与西部大道十字向南200米,,在售,写字楼,9200
融创天朗南长安街壹号,南长安街中段地铁二号线韦曲南站向南200米路东,建面 98~212m²,在售,普通住宅,9000
山水宅院,丰裕口转盘向西9公里路南,建面 352m²,在售,别墅,500
青城,东仪路南段西侧（韦曲建材街与东仪路交汇西北口）,建面 76~117m²,售罄,普通住宅,7800
