名称,位置,建面,销售状态,类型,价格
三迪枫丹,南三环与五典坡路交汇处向东200米,建面 85~123m²,在售,普通住宅,9500
曲江诸子阶,寒窑路与新开门路交汇处,建面 205~206m²,在售,普通住宅,13000
中国铁建万科翡翠国际,曲江大道路东（曲江二小西侧）,建面 91~129m²,在售,普通住宅,11000
金地南湖艺境,新开门南路与南三环十字东南角,建面 165m²,在售,普通住宅,12000
曲江紫汀苑,大唐芙蓉园东200米,建面 222~251m²,在售,普通住宅,15000
锦园曲江龙邸,雁翔路雁翔广场,建面 93~164m²,在售,普通住宅,10500
曲江龙邸,雁翔路与南三环交汇处向西50米,建面 88~182m²,在售,普通住宅,12000
雅居乐御宾府,新开门南路与曲江池南路十字西南角,建面 254~339m²,在售,普通住宅,13500
南湖九號院,曲江池南路南侧，秦二世遗址公园东侧,建面 246~653m²,在售,普通住宅,20000
曲江美好时光,南三环与雁引路交汇处向东200米,建面 76m²,在售,普通住宅,6700
阳光城丽兹公馆,南三环和公园南路交汇西北角,建面 110~140m²,在售,普通住宅,11000
曲江华著中城,雁翔路与雁曲五路交汇处曲江大道东,建面 139~313m²,在售,普通住宅,12500
曲江千林郡,雁塔南路南段南三环向南300米,建面 148~179m²,在售,普通住宅,10500
海德堡PARK,雁翔路与南三环交汇处东北角,建面 208~310m²,在售,普通住宅,13000
和众曲江城阅,雁翔路与黄渠头路交汇处东北角,建面 245m²,在售,普通住宅,14000
曲江林语,植物园东路与金花南路延伸段交汇处,建面 86~97m²,在售,普通住宅,6000
海伦国际,西影路铁设院向东200米,建面 88~98m²,在售,普通住宅,7000
曲江汉华城,曲江大道与雁曲五路交汇处向东200米,建面 28~56m²,在售,普通住宅,13000
保利曲江春天里,南三环与雁引公路交汇处西南角,建面 100~128m²,在售,普通住宅,8600
大华曲江公园世家,航天大道1199号,建面 86~112m²,在售,普通住宅,9500
曲江观山悦,雁塔南路与杜陵东路交汇十字东北,建面 170~252m²,在售,普通住宅,7000
曲江紫金城,长鸣路与南三环十字西北角中段,建面 87~170m²,在售,普通住宅,7800
中冶一曲江山,曲江大道以东（西安理工大学曲江校区南侧）,建面 195~218m²,在售,普通住宅,13000
曲江公馆和园,曲江池东路与曲江池北路交汇处东北角,建面 450m²,在售,别墅,2000
华侨城天鹅堡,翠华路与雁展路交汇处,建面 158m²,待售,普通住宅,12500
曲江源著,雁南一路与慈恩西路十字东南角,建面 450m²,在售,别墅,19000
金辉环球广场,雁塔南路与南三环交汇处,,在售,写字楼,12000
曲江银座,翠华南路与雁展路十字南200路西,,在售,写字楼,9500
曲江汉华城,曲江大道与雁曲五路交汇处向东200米,,在售,商铺,35000
